ID;Lat;Lon;UTM X (m);UTM Y (m);Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;Remarks
2719;-1.6420417;101.1461751;738774.271;9818376.366;807.58;-807.58;2023;1;3;3;43;21;0.002114;WCC
2720;-1.638136;101.1481445;738993.945;9818808.136;999.13;-999.13;2023;1;3;3;52;5.6700001;0.0021777;WCC
2721;-1.6356604;101.1507161;739280.48;9819081.653;695.14;-695.14;2023;1;3;3;52;21;0.0022182;WCC
2722;-1.6425207;101.1383952;737908.251;9818324.312;757.1;-757.1;2023;1;3;3;52;34.75;0.0026239;WCC
2723;-1.6400803;101.1447103;738611.46;9818593.489;819.14;-819.14;2023;1;3;4;2;20.4400005;0.0034782;WCC
2724;-1.640096;101.1456299;738713.817;9818591.642;897.36;-897.36;2023;1;4;20;11;39.3800011;0.0025953;WCC
2725;-1.640475;101.1432536;738449.27;9818550.005;906.76;-906.76;2023;1;4;20;16;15.5200005;0.0029093;WCC
2726;-1.6457231;101.1402832;738118.02;9817969.875;575.53;-575.53;2023;1;4;20;17;9.6400003;0.003077;WCC
2727;-1.6484999;101.1281576;736768.028;9817664.184;-174.19;174.19;2023;1;4;20;18;22.6800003;0.0496881;Reloc
2728;-1.60493647;101.0804623;731464.286;9822488.095;6352.273;-6352.273;2023;1;7;1;45;57.308832;0.060961;Initial
2729;-1.6459471;101.1397461;738058.21;9817945.162;778.36;-778.36;2023;1;11;13;28;50.2999992;0.0017059;WCC
2730;-1.62143069;101.1324859;737252.976;9820657.738;-1161.932;1161.932;2023;1;13;11;1;29.447445;0.000639;Initial
2731;-1.6725924;101.2195732;746940.476;9814988.095;5897.727;-5897.727;2023;1;14;3;46;48.63256;0.074579;Initial
2732;-1.67693971;101.1821451;742773.81;9814511.905;-1375;1375;2023;1;16;16;17;35.839354;0.058077;Initial
2733;-1.64376538;101.1311725;737104.167;9818187.5;1139.205;-1139.205;2023;1;20;13;29;11.092381;0.006436;Initial
2734;-1.6411608;101.1466227;738824.197;9818473.747;1015.67;-1015.67;2023;1;20;18;30;0.3;0.0033682;WCC
2735;-1.6442196;101.138444;737913.481;9818136.394;987.23;-987.23;2023;1;20;19;10;25.3999996;0.0027649;WCC
2736;-1.6417454;101.1446696;738606.732;9818409.319;614.66;-614.66;2023;1;20;19;10;36.4399986;0.0031582;WCC
2737;-1.6420165;101.1427002;738387.49;9818379.568;600.64;-600.64;2023;1;20;19;11;19.4799995;0.0029172;WCC
2738;-1.6406855;101.1411051;738210.101;9818526.978;1033.89;-1033.89;2023;1;20;19;11;38.4399986;0.0026355;WCC
